N_Paseo_Diario;Hora;Minutos_Duracion2;Pasos;Velocidad;Temperatura;Actividad_Secundaria;Poop;Acompañado;;
1;8;46;4356;94;11;Radio;N;N;;
2;20;75;8252;110;14;Podcast;N;N;;
1;8;28;2217;79;15;Nada;S;N;;
2;18;41;3849;93;17;Conversación;N;S;;
1;7;45;4661;103;11;Radio;S;N;;
2;19;63;5726;90;19;Conversación;S;S;;
1;8;27;2386;88;15;Nada;S;N;;
2;19;41;2815;68;15;Nada;S;N;;
1;8;44;3300;75;16;Radio;S;N;;
2;12;52;3763;72;16;Conversación;N;S;;
3;15;121;9327;77;16;Conversación;N;S;;
1;7;23;1963;85;5;Radio;N;N;;
2;15;43;6329;147;13;Conversación;S;S;;
3;22;15;1058;70;10;Nada;N;N;;
1;8;27;2535;93;14;Radio;S;N;;
2;12;24;2346;97;16;Podcast;N;N;;
3;21;32;3285;102;16;Nada;S;N;;
1;8;22;2000;90;13;Radio;N;N;;
1;8;39;3183;81;10;Radio;S;N;;
2;13;24;2400;99;12;Podcast;N;N;;
1;8;25;3000;120;10;Radio;S;N;;
2;19;75;8000;106;12;Conversación;S;S;;
1;7;29;2563;88;6;Radio;S;N;;
2;13;16;1687;105;16;Nada;S;N;;
3;19;88;4001;45;12;Conversación;S;S;;
1;17;33;2869;86;13;Conversación;N;S;;
1;7;31;2451;79;6;Nada;S;N;;
1;7;35;2925;83;4;Radio;S;N;;
2;21;58;9000;155;9;Podcast;S;N;;
1;7;34;2562;75;6;Radio;N;N;;
2;13;17;2244;131;15;Conversación;S;S;;
3;22;30;2500;83;10;Nada;S;N;;
