,index,year-month,vacuna,cantidad,cantidad1,cantidad2
0,0,2020-12,COVISHIELD,1,1,0
1,1,2020-12,Sputnik,43310,43308,2
2,2,2021-01,AstraZeneca,8,8,0
3,3,2021-01,COVISHIELD,64,64,0
4,4,2021-01,Sinopharm,18,17,1
5,5,2021-01,Sputnik,344973,242976,101997
6,6,2021-02,AstraZeneca,29,29,0
7,7,2021-02,COVISHIELD,261690,261618,72
8,8,2021-02,Sinopharm,114,113,1
9,9,2021-02,Sputnik,615701,412401,203300
10,10,2021-03,AstraZeneca,15341,15325,16
11,11,2021-03,COVISHIELD,321764,321383,381
12,12,2021-03,Sinopharm,815368,814218,1150
13,13,2021-03,Sputnik,1823203,1431949,391254
14,14,2021-04,AstraZeneca,957647,920212,37435
15,15,2021-04,COVISHIELD,39910,36606,3304
16,16,2021-04,Sinopharm,1167649,1064597,103052
17,17,2021-04,Sputnik,1858485,1701600,156885
18,18,2021-05,AstraZeneca,651135,355320,295815
19,19,2021-05,COVISHIELD,28092,24884,3208
20,20,2021-05,Sinopharm,1606670,84400,1522270
21,21,2021-05,Sputnik,2319579,2195672,123907
22,22,2021-06,AstraZeneca,5587002,4963013,623989
23,23,2021-06,Sinopharm,988819,819467,169352
24,24,2021-06,Sputnik,2079612,1596577,483035
25,25,2021-07,AstraZeneca,3214203,2110156,1104047
26,26,2021-07,Sinopharm,4865633,4175740,689893
27,27,2021-07,Sputnik,2271973,1374447,897526
